No,Template Name,Category,Keywords,Layout Spec,Typography,Color Palette,Best For,ReportLab Notes,Source Image
11,Teal Arabesque Seminar Bifold,Brochure,"conference program, bifold invitation, Islamic pattern motif, seminar flyer, event bifold","Bifold mockup at angle; front panel white with arabesque swirl motif filling right edge, vertically stacked title hierarchy left, circular date badge; back panel solid teal with white moderator/panelist text blocks and rounded search/QR bar","Mixed-weight serif/script display title (light + bold italic red accent word), sans body for schedule/contact, small caps section labels","Teal #1D6E6E, white/light grey #F4F4F4, navy #1B2A4A, coral red accent #C0392B","Academic or religious seminar programs, conference invites, event bifold brochures",Two separate PageTemplates for front/back panel; arabesque pattern as tiled PNG via canvas.drawImage (too complex for vector paths); solid teal bg via canvas.rect fill; date badge via canvas.circle with two-tone centered text,1b9983cc8ce285a4084641f0a3f2745c.jpg
12,Warm Mustard Spa Trifold Brochure,Brochure,"spa brochure, wellness trifold, mustard yellow, bifold mockup, treatment menu","Landscape bifold spreads: color-block sidebar with vertical service list, opposing panel with large photo or 2x2 photo grid; cover panel with bold headline over color block.","Bold condensed sans headline (mixed case), small caps sidebar labels, plain sans body.","Mustard/Amber #E8A33D, White #FFFFFF, Charcoal #2B2B2B, Sage Green #7A9B6E","Spa, wellness, or beauty-service tri-fold/bifold brochures",Landscape page split into unequal Frames (sidebar + photo panel); colored sidebar rect background; zero-padding 2x2 Table for photo grid; flat panel design (no fold shadow) since ReportLab renders flat pages.,4bfa30e7139e7f3044faea854e677a0f.jpg
13,Wave-Split Trifold Product Brochure,Brochure,"trifold brochure, essential oil wellness product, purple wave divider, TCM herbal ingredient list","Standard 3-panel trifold (front/back cover plus two inner spreads) where a diagonal wave curve splits each panel between a white photo/content zone and a solid purple brand zone, with a centered logo lockup in the wave and a bottom icon row (non-GMO, lab tested, natural).","Rounded script-like logo wordmark, bold sans product headline 20-24pt, tracked uppercase subheads 11pt, small body copy 7-8pt with numbered ingredient lists.","#6E4C9E deep purple (brand block), #B79FD1 lavender (secondary accent), #FFFFFF white (content background), photo-neutral tones (imagery)","product brochures, wellness/beauty trifolds, retail one-sheets with ingredient lists","Three equal-width Frames per landscape page for the trifold panels; purple wave divider drawn per panel with canvas.bezier/Path then clipped; icon row as a 4-cell Table with small vector icons and caption Paragraphs; ingredient list via bulleted Paragraph style with bold sub-headers; Helvetica Neue Bold headlines, Helvetica Neue body, purple RGB(110,76,158) for icon captions.",c50f19b43dd248d3d538978b8c265f45.jpg
14,E-commerce Product Benefits Infographic,Catalog,"Amazon listing infographic, product benefits, collagen supplement, feature checklist, ingredient icons","Long vertical stack of full-width colored sections, product photography alternating left/right, checkmark feature lists, circular ingredient-icon row near bottom.","Bold condensed all-caps section headers, checkmark bullet list, small caption labels under icons.","Raspberry Red #C81E3A, Blush Pink #F7C9CE, White #FFFFFF, Dark Maroon #7A0C1E","E-commerce product listing sell-sheets, supplement/consumer-goods infographics",Repeating full-width colored band sections via canvas.rect per section; Table with Unicode checkmark bullets for feature lists; circular icon row as a Table of Image cells with caption Paragraph beneath.,6fc29f14a3ec33327d8f5a5c1ba51d80.jpg
15,Pinwheel Catalog Cover,Catalog,"product catalog cover, folded booklet mockup, pie-wheel photo collage, electronics brochure","Bi-fold booklet mockup: front cover has a circular pinwheel of 8 wedge-cropped product photos radiating from a center logo badge on a white ground with a blue gradient sweep at the base; back cover is a solid diagonal blue gradient with left-aligned white headline and bullet taglines, footer contact band with icons on both covers.","Bold rounded sans logo wordmark 'SkyView' large on both covers, thin small-caps tagline bullets, small footer sans for address/phone/email.","#1B1464 deep blue gradient base, #2E1A8C mid blue, #FFFFFF background, #E6007E magenta accent wedge, #00AEEF cyan accent wedge","Product/electronics catalog covers, dealer brochures, packaging-line lookbooks",Full-bleed cover as a pre-rendered gradient PNG Image (ReportLab has no native gradient fill) with a Drawing of Wedge shapes clipped to a circle for the pinwheel photo mask; back cover built from a canvas rect fill plus a left Frame of Paragraphs; footer built as a borderless Table with icon+text cells and a thin HRFlowable divider above it.,293f5c507a30b3f033b854026fd7933c.jpg
16,Starbucks Forest Catalog,Catalog,"coffee catalog, brand lookbook, product photography, forest green","A4 landscape spread catalog: cover has a centered logo plate on a deep green block, a contents spread uses a vertical rule with a numbered section list, and product spreads alternate full-bleed lifestyle photo pages, cropped image/text pages, and a 2x3 product-icon grid page.",Tall condensed serif/slab display wordmark for section titles; uppercase tracked-out sans labels for navigation/footer; small sans body copy in white-on-green or black-on-white.,"#0D3B2E deep forest green (brand primary), #C9A66B tan/caramel (accent), #F2EFE9 cream page ground, #FFFFFF white, #1A1A1A black text","Product/brand lookbook catalogs, cafe or CPG brand PDF catalogs, retail line sheets.",Landscape Platypus template alternating full-bleed Image-frame pages with 2-column text/image pages; the product grid page is a 3x2 Table with fixed-size Image cells and caption sub-rows nested beneath; footer page-number and brand tag are drawn in an onPage() canvas callback for consistency.,4b55de88b2093c017500b18acf1743dc.jpg
17,Faceted Triangle Annual Report Cover,Cover Design,"annual report cover template, geometric triangles, red orange facets, image placeholder, corporate mosaic","Portrait cover: top-left logo lockup, bold title block, diagonal faceted-triangle mosaic bottom-right containing photo, footer icon+text contact row.","Bold red sans headline, thin gray body paragraph, small footer icon+text row.","Crimson #C81E2C, Orange #F5A623, Dark Red #8B1220, White #FFFFFF","Generic corporate annual/financial report covers, stock template for any industry","Triangle mosaic via multiple Polygon shapes, photo clipped into subset facets using a PIL-generated mask before placement; footer icon row as 4-column Table; logo Drawing placeholder top-left.",a13aea40c109050ac5808ff93d5d68d9.jpg
18,Geometric Numeral Poster,Cover Design,"exhibition poster, geometric type, die-cut numerals, architecture awards, event cover","Single-column portrait poster dominated by oversized die-cut numerals '2023' built from quarter-circle and rectangle shapes filling the upper two-thirds, with vertical date text along the right edge, logo plus bold event title bottom-left, and a two-column credits/description block at the bottom.","Ultra-bold geometric display numerals rendered as graphic shapes rather than font glyphs, bold condensed sans event title 'nuevas voces', small bold sans two-column body for names and description.","#14283C dark navy, #2E8C9C teal, #6FBE44 kelly green fill, #7AC142 green outline circle, #E9E9E7 off-white background","Exhibition/awards posters, event covers, ebook or brochure cover art needing a bold graphic mark","Construct the numerals from reportlab.graphics.shapes (Rect, Wedge, Circle grouped in a Drawing) rather than real type for exact geometric control; canvas.rotate(90) for the vertical date string; credits block as a zero-border two-column Table; logo placed as a vector Drawing or PNG anchored bottom-left in a footer Frame.",a8e344bd8e887e4eba05a92454fcad84.jpg
19,Hanging Sign Career Cover,Cover Design,"blog cover, career guide, restaurant, Pinterest graphic, hanging sign","Vertical 2:3 poster with a photographic bokeh restaurant background; a wood-framed brass hanging-sign graphic fills the top half for the title, a photo subject overlaps the sign in the lower half, and a logo lockup sits at the base.",Engraved-brass script/serif mix for the sign title ('Restaurant Manager' script over 'How To Become A' small caps); bold sans logotype in the footer.,"#B08D57 brass/gold, #2B2118 dark wood brown, #1C1C1C shadow black, #FFFFFF logo white","Blog/article cover images, Pinterest pins, career-guide lead graphics for content marketing.",Not a multi-page document — treat as a single full-bleed Canvas page (2:3 ratio) with drawImage for the photo background; the sign graphic and its title type should be pre-composited in PIL/Illustrator since ReportLab cannot do the bokeh/drop-shadow blending or brass-emboss text effect natively.,c2b9103e8eb190cbd733ee0362d4537c.jpg
20,Neon Checklist Section-Divider Cover,Cover Design,"section divider, neon icon, dark cover, checklist document icon, Cyrillic label templates","Full-bleed dark cover/divider slide: small eyebrow label top-left ('K.LAB / 11'), centered glowing checklist-document icon, bold caps wordmark below ('ШАБЛОНЫ' = 'Templates'), faint grid dots and a flowing light-line accent across the page","Small tracked sans eyebrow label, bold wide-tracked sans caps wordmark below the icon","Near-black navy #05070F, electric blue glow #2E9FFF, cyan highlight #6FD8FF","section-divider covers for dark-themed reports, template/resource-pack cover slides",Full-page dark background via canvas.rect fill; glowing icon approximated with layered stroke Circles/Path at decreasing opacity behind a crisp icon Image; wordmark as a centered bold ParagraphStyle in light gray-blue; subtle dot grid via looped small Circle draws.,f02a8bcad2169479b1f13d7d8954101e.jpg
21,Neon Content Stack Cover,Cover Design,"glow UI, dark tech, 3D card icon, wavy line motif, AI product cover",Square dark canvas; small tracked kicker label top-left; centered 3D stacked-card illustration mid-frame with a soft glow outline; bold all-caps headline centered in the lower third; a thin wavy line and faint dot grid cross the background for texture.,Heavy grotesk display headline (Montserrat/Inter Black) ~48pt wide letter-spacing in all caps; tiny mono-style kicker label ~10pt tracked.,"#05070F near-black background, #2E6BFF/#5AA9FF electric blue glow, #A9C4E8 light blue-gray text","AI/SaaS product cover slide, lead-magnet cover, digital content-pack thumbnail.",Layer several translucent radial circles (canvas.setFillAlpha + circle) behind a PNG icon drawn with drawImage(mask='auto') to fake the glow; draw the wave with canvas.bezier as a stroked path; headline via drawCentredString in Helvetica-Bold; dotted grid via a nested loop of tiny canvas.circle calls at low opacity.,6b17806d37b8430c6e4786058cea96eb.jpg
22,Newcastle Now Geometric Triangle Cover,Cover Design,"annual report cover, geometric triangles, photo-masked mosaic, brand color block","A4 portrait cover; top band on white holds logo (left) and report title/year (right); lower two-thirds is a mosaic of large color and photo-filled triangles meeting at a central point, with a bold year numeral reversed out of the bottom triangle.","Sans logo wordmark small-caps ~10pt, report title regular sans ~14pt right-aligned, oversized year numeral ~60pt bold white-on-plum.","#E5007D magenta, #F26B21 orange, #5B1A48 deep plum, #FFFFFF white, #231F20 text","Nonprofit/BID annual report covers, brand-driven geometric report or brochure covers.",Draw each triangle with canvas.beginPath/moveTo/lineTo/close and setFillColor for the flat-color shapes; for photo-filled triangles use canvas.clipPath around the same polygon then drawImage inside the clipped state; title/logo placed in a top Frame band separate from the canvas-drawn cover art.,9a0559276becf21d0868e6c1cd664766.jpg
23,Purple-Orange Gradient Cover Kit,Cover Design,"annual report cover kit, gradient duotone, geometric shape variants, brochure cover system","6-cover grid, each A4 portrait using one large geometric shape (circle quadrant, diagonal curve, arrow chevron) in a gradient overlaying a duotone city-skyline photo; small logo top-left, title block mid-left, year + tagline bottom",Bold two-weight title ('BROCHURE' bold + 'COVER' regular); small caps eyebrow 'ANNUAL REPORT'; small sans year/footer,"Violet #6A3FD1 to orange #F5934A diagonal gradient, white, navy/black alternate bg #14142B",Annual report / brochure cover design system with swappable geometric shape variants,Gradient shape via canvas Path fill with a PIL-generated gradient PNG mask over the photo Image; duotone photo pre-processed in PIL before embedding; one cover PageTemplate with a swappable shape-drawing function per variant,a42240abef7981b60bc852e329d396d4.jpg
24,Spiral-Bound NGO Workshop Booklet Cover,Cover Design,"NGO report cover, spiral binding mockup, EU-funded program, restorative justice, blue yellow orange geometric","Front cover uses large overlapping circle/wave shapes in blue with yellow and orange dot accents, a top-left partner-logo lockup, and a bold condensed title block in the lower third; back cover mirrors the color band with contact/social icons.","Bold condensed all-caps sans title 28-36pt white on blue, small orange rounded badge label, thin italic tagline, footer sans 8pt.","#1B3FA0 royal blue (primary shape/background), #F5C518 yellow (highlight accent), #F0752E orange (secondary accent), #FFFFFF white (text/background)","NGO program reports, workshop booklets, donor-funded project cover pages",Cover PageTemplate onPage function drawing overlapping canvas.circle shapes with clipping to build the wave graphic; title block as a white Helvetica Neue Bold Condensed Paragraph over the shape; small circular orange badge via canvas.circle plus centered Paragraph; back cover reuses the same drawing function mirrored; social icons as a small inline Table row.,9385bcf37d1cfe7f2a1654e919040270.jpg
25,Triangular Photo-Mosaic Travel Cover,Cover Design,"triangle grid, photo mosaic, zig-zag collage, travel photography, minimal caption block","Portrait page filled top-to-bottom (~80%) with an interlocking triangle photo mosaic on a white field, a small rotated brand mark top-left, and a bold caption + italic tagline set in the remaining white space bottom-right.",Bold condensed tracked all-caps sans headline (14-16pt); light italic serif/sans tagline; tiny rotated vertical brand wordmark.,"#FFFFFF page bg, #F4C6D7 blossom pink, #2B3A67 twilight blue, #D98A3D lantern amber, #3A3A3A caption text","Photo-book or ebook covers, travel magazine feature openers, Pinterest-style pin templates.",Precompose the triangle mosaic as one raster asset (or clip each triangle with canvas.clipPath + drawImage per shape) and place via a full-bleed Image flowable; overlay the caption in a Frame positioned over the blank lower-right quadrant; rotate the small brand text with canvas.saveState()/rotate()/drawString().,a4218925d31dd38629a2a9dd62789c9c.jpg
26,Trico ESG Diagonal Split Cover,Cover Design,"ESG report, diagonal split, corporate photography, teal ribbon accent","Portrait cover split diagonally: left/upper region is a full-bleed field photo with bold reversed headline, right/lower region is a solid navy panel holding the logo, report title and subtitle; a thin teal diagonal ribbon crosses the seam; small URL callout bottom-left.","Bold condensed sans headline on photo ~28pt white, logo wordmark sans-serif with a script-style italic tagline underneath, footer sans 10pt.","#1B3A4B deep navy, #2AB6A6 teal ribbon, #FFFFFF white text, photo-derived earth tones","Utility/cooperative ESG or sustainability report covers, corporate annual report covers needing a photo+brand-panel split.","canvas.clipPath with a diagonal polygon splits the page into photo and navy-panel regions; drawImage the photo full-bleed inside the clip, setFillColor navy rect for the other region; simulate the teal ribbon with a rotated rectangle (canvas.saveState/rotate/rect/restoreState); logo and title text placed via drawString inside the navy region.",cd10f5a3708d507b06421d985cde6339.jpg
27,Beige Fashion Workbook Collection,Ebook/Workbook,"fashion ebook, workbook template, taupe minimal, chapter divider, course guide",Grid of ~12 flatlay pages alternating full-bleed lifestyle photo pages with white text pages using a bold two-line title stack; chapter dividers show a large number + photo strip; sideways spine labels run along far edges,Bold modern serif/slab titles mixed with thin tracked sans labels; uppercase eyebrow tags; generous whitespace,"Taupe/beige #D9CDBF, black #111111, white #FFFFFF, warm grey text","Fashion/lifestyle brand ebook, workbook or online-course template, digital guide",Sideways spine label via canvas.rotate(90) Paragraph; full-bleed photo pages as zero-padding Frame; text pages 1in-margin Frame with 42pt bold title + thin HRFlowable caption divider,7374ea2fde0ca7d3174cf6a51bab43ad.jpg
28,Blue Minimal Ebook Cover Mockup,Ebook/Workbook,"whitepaper cover, lead magnet ebook, minimal blue cover, accent bar title block",Vertical cover mockup (held under arm); small green accent bars mark title block top-right and left margin; multi-line bold left-aligned title stacked ~5 lines; small logo lockup bottom-left,"Bold sans headline, tight leading, stacked short lines; small logo wordmark caption","Royal blue gradient #1B3FA0 to #274FCF, white text, mint green accent #3FCB8A","Lead-magnet ebook cover, whitepaper cover page",Full-bleed gradient cover Frame via stepped rect fills; thin green accent line via Line/Drawing top-right corner; bold white Paragraph title left-aligned; small logo Image + hairline rule bottom-left,5ff3b7eea36718811a26afcdea060b3a.jpg
29,Blush Editorial Workbook Kit,Ebook/Workbook,"fashion workbook, blush pink ebook, chapter dividers, 21-day challenge calendar, testimonial pages",Portrait ebook pages: chapter covers with large numeral + photo top / color block bottom third; worksheet pages with grid calendar; testimonial cards; two-column FAQ.,"Bold mixed serif/sans huge chapter numerals, uppercase tracked labels ('CHAPTER TWO'), regular sans body.","Dusty Rose #B85C6B, Blush Pink #F2D9D9, White #FFFFFF, Black #1A1A1A","Fashion/lifestyle coaching workbooks, digital course PDF kits",Chapter PageTemplate = photo top 60% + color rect bottom 40% with numeral+title overlay; Table calendar grid for challenge worksheet; testimonial Table with star Unicode + quote Paragraph.,8596dc50630339ba99a7e139a01274ad.jpg
30,Boho Arch Ebook Suite,Ebook/Workbook,"boho ebook, arch motif, canva ebook, neutral earth tones, social media pack, author bio page, TOC dot leaders",4x5 grid of portrait A4/Letter mockups: cover with arch-shaped photo cutout + circular author photo; bio spread 2-col with circular crop overlapping arch shape; TOC with serif numerals and leader dots; alternating photo/text chapter pages,Large serif script logotype paired with wide-tracked serif display headline; small-caps serif eyebrow labels; TOC uses serif numerals with dot leaders; body in light serif/sans,"Mauve/taupe #C9BEB8, warm cream #F2E9DE, terracotta/rust #A85C3B, deep brown text #4A3B33, white #FFFFFF","boutique ebook covers, personal-brand workbooks, lead-magnet PDFs",Platypus Frame per page type; arch shapes via reportlab.graphics.shapes.Path with bezier arcs; circular photo crop via Drawing + clipPath; TOC as Table with TableStyle LINEBELOW dotted rule or manual dot-leader string padding; terracotta accents via custom ParagraphStyle textColor.,032164f6e992c5095ec9b491efd15eb6.jpg
31,Canva 250-Page Ebook Template Family,Ebook/Workbook,"course workbook, ebook template family, illustrated landscape banner, lead magnet set, coaching PDF","Promo grid of ~24 thumbnail pages showing one consistent minimal template family: a flat illustrated landscape banner (hill + cloud) at top or bottom of each page, generous white space, varied content types (FAQ, pricing outline, quote page, chapter divider, checklist); bottom promo band with headline + rounded CTA button",Elegant serif page titles; clean sans body/labels; bold serif big promo headline over the grid,"Sage green #6E8B4A, sky blue #A9CDE8, cream/tan #EDE3D3, brown CTA button #8A5A34","Course workbook, lead-magnet ebook family, coaching/education PDF template set",Illustrated landscape banner as a reusable PNG/SVG asset placed via Image flowable at the top or bottom of the Frame; one base PageTemplate with a swappable content Frame region defines the template family; CTA button via roundRect + centered Paragraph on the promo page only,e2ad51861a7bd404e473893d4367e3db.jpg
32,Circle-Motif Course Workbook,Ebook/Workbook,"course workbook, orange black geometric, overlapping circles, checklist pages, worksheet outline","Cover with overlapping black/orange circles and stacked wordmark; interior worksheet pages with numbered oval checklist boxes, two-column outline pages, Q&A fill-in boxes.","Bold condensed stacked headline, small caps section labels ('TITLE HERE'), sans body with orange numeral bullets.","Orange #F0932B, Black #1A1A1A, White #FFFFFF, Light Gray #F5F5F5","Online-course companion workbooks, worksheet/checklist PDF kits",Overlapping circle cover via layered Drawing Circle shapes with clipping; oval outline blanks via roundRect stroke; 2-column Frame for content pages; small Drawing per list item for orange numbered-circle bullets.,8b0752e15ec56818304a896e9d306049.jpg
33,Diagonal Split Ebook Promo Card,Ebook/Workbook,"product promo tile, InDesign ebook template, diagonal split background, floating cover mockup",Diagonal two-tone background split (dusty blue vs white); top-left logo+wordmark with rule; two stacked label chips; floating rotated cover mockup bottom-right with photographic background and translucent white title panel,Light modern sans logo lockup with letter-spacing; bold uppercase small chip labels; serif-ish subtitle on the mockup cover,"Dusty blue #A9C1CC, white, near-black #1B1B1B, marble-grey diagonal wash",Template/product promo tile; also a reference for an ebook cover with photo bg + translucent title panel,Diagonal split via canvas Path triangle fill; label chips as small filled rects with centered Paragraph; drop-shadow mockup via offset light-grey rect behind a rotated Image (canvas.saveState/rotate/restore),683052ff00b89e1fcf470bc80c69c2a7.jpg
34,Editorial Timeline Split-Page History Layout,Ebook/Workbook,"editorial history book, timeline layout, split page photo, coffee-table publication, National Parks style","Consistent 2-column split page: left 45% white margin column with rotated sidebar year label, diamond-framed year badge, serif headline, thin vertical rule, body copy; right 55% full-bleed photo bleeding to page edge with small bottom-right credit line; variant page lists multiple year entries stacked in the left column",Elegant serif display headline ~30pt; small caps location/date labels; thin sans body ~9pt; tiny credit captions,"White bg, deep forest green #2E4A2E, rust/terracotta #B5651D accents, full-color and sepia archival photography","Coffee-table or history ebook, timeline report, editorial narrative PDF",Left/right split via two Frames (45/55 width) per page; diamond year badge via a rotated square canvas Path; rotated sidebar year label via canvas.rotate(90); full-bleed photo Frame with zero padding; thin vertical divider between columns via canvas.line,cdc0ccb7635f8b726dd8206d9b6b7f38.jpg
